date,rain_mm_total,rainy_days,rain_1m,rain_3m,rain_6m,rain_12m,month,rain_clim_monthly,rain_anom
1994-01-31,54.644800000000004,7,54.644800000000004,54.644800000000004,54.644800000000004,54.644800000000004,1,52.49831818181818,2.146481818181826
1994-02-28,53.0698,10,53.0698,107.7146,107.7146,107.7146,2,58.23464545454545,-5.16484545454545
1994-03-31,108.7938,14,108.7938,216.5084,216.5084,216.5084,3,102.0204090909091,6.773390909090907
1994-04-30,113.5943,8,113.5943,275.4579,330.1027,330.1027,4,140.91188181818183,-27.31758181818182
1994-05-31,92.7394,5,92.7394,315.12750000000005,422.8421,422.8421,5,85.74830909090909,6.991090909090914
1994-06-30,12.4192,2,12.4192,218.75289999999998,435.2613,435.2613,6,24.74639090909091,-12.327190909090909
1994-07-31,17.5735,4,17.5735,122.7321,398.19,452.83480000000003,7,13.936318181818182,3.6371818181818174
1994-08-31,36.6071,4,36.6071,66.5998,381.7273,489.44190000000003,8,51.01717272727273,-14.410072727272727
1994-09-30,58.1375,11,58.1375,112.3181,331.071,547.5794000000001,9,104.44834545454545,-46.31084545454544
1994-10-31,121.035,11,121.035,215.77960000000002,338.5117,668.6144,10,121.37387272727273,-0.33887272727272943
1994-11-30,205.4874,19,205.4874,384.6599,451.2597,874.1018,11,114.34001818181818,91.14738181818183
1994-12-31,97.8101,8,97.8101,424.3325,536.6506,971.9119000000001,12,91.00471818181819,6.805381818181814
1995-01-31,56.330200000000005,6,56.330200000000005,359.6277,575.4073000000001,973.5973,1,52.49831818181818,3.8318818181818273
1995-02-28,42.1627,11,42.1627,196.303,580.9629,962.6902,2,58.23464545454545,-16.07194545454545
1995-03-31,106.8955,13,106.8955,205.3884,629.7208999999999,960.7918999999999,3,102.0204090909091,4.8750909090909005
1995-04-30,142.8976,12,142.8976,291.9558,651.5835,990.0952,4,140.91188181818183,1.9857181818181857
1995-05-31,93.94579999999999,8,93.94579999999999,343.73889999999994,540.0419,991.3016000000001,5,85.74830909090909,8.197490909090902
1995-06-30,31.741999999999997,4,31.741999999999997,268.5854,473.9738,1010.6244,6,24.74639090909091,6.995609090909088
1995-07-31,12.4009,4,12.4009,138.0887,430.04449999999997,1005.4518,7,13.936318181818182,-1.5354181818181818
1995-08-31,14.405100000000001,3,14.405100000000001,58.548,402.2869,983.2498,8,51.01717272727273,-36.61207272727273
1995-09-30,98.9088,8,98.9088,125.7148,394.3002,1024.0211,9,104.44834545454545,-5.539545454545447
1995-10-31,110.0738,17,110.0738,223.3877,361.4764,1013.0599,10,121.37387272727273,-11.30007272727272
1995-11-30,143.38569999999999,15,143.38569999999999,352.3683,410.91630000000004,950.9582,11,114.34001818181818,29.045681818181805
1995-12-31,96.3783,9,96.3783,349.8378,475.5526,949.5264,12,91.00471818181819,5.373581818181805
1996-01-31,88.666,14,88.666,328.42999999999995,551.8177000000001,981.8622,1,52.49831818181818,36.16768181818182
1996-02-29,58.5066,14,58.5066,243.55089999999998,595.9191999999999,998.2061,2,58.23464545454545,0.2719545454545482
1996-03-31,100.1616,14,100.1616,247.3342,597.172,991.4722,3,102.0204090909091,-1.8588090909090909
1996-04-30,130.732,11,130.732,289.40020000000004,617.8302,979.3065999999999,4,140.91188181818183,-10.179881818181826
1996-05-31,40.317,4,40.317,271.2106,514.7615,925.6777999999999,5,85.74830909090909,-45.43130909090909
1996-06-30,26.7929,3,26.7929,197.8419,445.1761,920.7287,6,24.74639090909091,2.0465090909090904
1996-07-31,24.624200000000002,5,24.624200000000002,91.7341,381.1343,932.952,7,13.936318181818182,10.68788181818182
1996-08-31,70.8822,11,70.8822,122.29929999999999,393.5099,989.4291,8,51.01717272727273,19.865027272727268
1996-09-30,129.5508,15,129.5508,225.05720000000002,422.8991,1020.0711000000001,9,104.44834545454545,25.102454545454563
1996-10-31,150.2054,16,150.2054,350.63840000000005,442.3725,1060.2027,10,121.37387272727273,28.83152727272727
1996-11-30,169.663,13,169.663,449.41920000000005,571.7185,1086.48,11,114.34001818181818,55.32298181818183
1996-12-31,95.8881,8,95.8881,415.7565,640.8136999999999,1085.9898,12,91.00471818181819,4.883381818181803
1997-01-31,66.325,18,66.325,331.87610000000006,682.5145,1063.6488,1,52.49831818181818,13.826681818181825
1997-02-28,26.6663,7,26.6663,188.87940000000003,638.2986,1031.8085,2,58.23464545454545,-31.56834545454545
1997-03-31,93.3177,9,93.3177,186.30900000000003,602.0655,1024.9646,3,102.0204090909091,-8.702709090909096
1997-04-30,199.4301,19,199.4301,319.4141000000001,651.2902,1093.6627,4,140.91188181818183,58.518218181818185
1997-05-31,104.8656,7,104.8656,397.61340000000007,586.4928,1158.2113000000002,5,85.74830909090909,19.11729090909091
1997-06-30,24.4053,4,24.4053,328.701,515.01,1155.8237,6,24.74639090909091,-0.34109090909090867
1997-07-31,21.3658,3,21.3658,150.63670000000005,470.05080000000004,1152.5653,7,13.936318181818182,7.429481818181818
1997-08-31,24.6252,5,24.6252,70.39630000000005,468.00970000000007,1106.3083,8,51.01717272727273,-26.39197272727273
1997-09-30,52.522499999999994,10,52.522499999999994,98.51350000000005,427.2145,1029.28,9,104.44834545454545,-51.92584545454545
1997-10-31,125.8997,13,125.8997,203.04740000000004,353.6841,1004.9743,10,121.37387272727273,4.52582727272727
1997-11-30,192.514,15,192.514,370.93620000000004,441.3325,1027.8253,11,114.34001818181818,78.17398181818183
1997-12-31,192.5515,17,192.5515,510.9652000000001,609.4787,1124.4887,12,91.00471818181819,101.54678181818181
1998-01-31,83.741,14,83.741,468.8065000000001,671.8539,1141.9047,1,52.49831818181818,31.242681818181822
1998-02-28,58.5903,10,58.5903,334.8828000000001,705.819,1173.8287,2,58.23464545454545,0.35565454545454855
1998-03-31,73.9161,13,73.9161,216.24740000000006,727.2126,1154.4271,3,102.0204090909091,-28.104309090909098
1998-04-30,105.8433,9,105.8433,238.34970000000004,707.1562,1060.8403,4,140.91188181818183,-35.068581818181826
1998-05-31,114.6794,8,114.6794,294.43880000000007,629.3216,1070.6541,5,85.74830909090909,28.931090909090912
1998-06-30,25.5528,7,25.5528,246.07550000000006,462.3229,1071.8016,6,24.74639090909091,0.8064090909090922
1998-07-31,18.8789,4,18.8789,159.11110000000005,397.4608,1069.3147000000001,7,13.936318181818182,4.94258181818182
1998-08-31,40.1613,7,40.1613,84.59300000000006,379.0318,1084.8508,8,51.01717272727273,-10.855872727272732
1998-09-30,70.6929,11,70.6929,129.73310000000004,375.8086,1103.0212000000001,9,104.44834545454545,-33.75544545454545
1998-10-31,176.0963,17,176.0963,286.9505000000001,446.06160000000006,1153.2178000000001,10,121.37387272727273,54.72242727272729
1998-11-30,116.42320000000001,8,116.42320000000001,363.2124000000001,447.8054000000001,1077.127,11,114.34001818181818,2.083181818181828
1998-12-31,85.39869999999999,2,85.39869999999999,377.91820000000007,507.6513000000001,969.9742,12,91.00471818181819,-5.6060181818182
1999-01-31,57.8667,13,57.8667,259.68860000000006,546.6391,944.0999,1,52.49831818181818,5.368381818181824
1999-02-28,32.2986,7,32.2986,175.56400000000008,538.7764000000001,917.8081999999999,2,58.23464545454545,-25.93604545454545
1999-03-31,101.61789999999999,17,101.61789999999999,191.78320000000008,569.7014,945.51,3,102.0204090909091,-0.40250909090910625
1999-04-30,104.2416,7,104.2416,238.15810000000008,497.84670000000006,943.9083,4,140.91188181818183,-36.67028181818182
1999-05-31,11.828700000000001,2,11.828700000000001,217.68820000000008,393.2522000000001,841.0576,5,85.74830909090909,-73.91960909090909
1999-06-30,16.3326,2,16.3326,132.4029000000001,324.1861,831.8374,6,24.74639090909091,-8.41379090909091
1999-07-31,13.6348,3,13.6348,41.79610000000009,279.95420000000007,826.5933,7,13.936318181818182,-0.3015181818181816
1999-08-31,69.9903,10,69.9903,99.95770000000009,317.64590000000004,856.4223,8,51.01717272727273,18.973127272727275
1999-09-30,81.083,8,81.083,164.7081000000001,297.11100000000005,866.8124,9,104.44834545454545,-23.365345454545448
1999-10-31,146.276,11,146.276,297.3493000000001,339.14540000000005,836.9921,10,121.37387272727273,24.902127272727284
1999-11-30,114.0784,10,114.0784,341.4374000000001,441.3951,834.6473,11,114.34001818181818,-0.26161818181817864
1999-12-31,89.7188,8,89.7188,350.07320000000004,514.7813000000001,838.9674,12,91.00471818181819,-1.2859181818181895
2000-01-31,52.250299999999996,13,52.250299999999996,256.04750000000007,553.3968,833.351,1,52.49831818181818,-0.24801818181818192
2000-02-29,47.4401,9,47.4401,189.4092000000001,530.8466000000001,848.4925000000001,2,58.23464545454545,-10.79454545454545
2000-03-31,64.19539999999999,12,64.19539999999999,163.88580000000007,513.9590000000001,811.07,3,102.0204090909091,-37.825009090909106
2000-04-30,145.5695,13,145.5695,257.2050000000001,513.2525,852.3978999999999,4,140.91188181818183,4.657618181818179
2000-05-31,87.4981,7,87.4981,297.2630000000001,486.6722000000001,928.0672999999999,5,85.74830909090909,1.7497909090909047
2000-06-30,15.8551,2,15.8551,248.92270000000008,412.8085000000001,927.5898,6,24.74639090909091,-8.891290909090909
2000-07-31,18.3681,3,18.3681,121.72130000000007,378.9263,932.3231,7,13.936318181818182,4.4317818181818165
2000-08-31,34.5666,4,34.5666,68.78980000000008,366.05280000000005,896.8994,8,51.01717272727273,-16.45057272727273
2000-09-30,72.71889999999999,11,72.71889999999999,125.65360000000007,374.57630000000006,888.5352999999999,9,104.44834545454545,-31.729445454545456
2000-10-31,158.9502,16,158.9502,266.23570000000007,387.95700000000005,901.2094999999999,10,121.37387272727273,37.57632727272727
2000-11-30,146.3131,18,146.3131,377.98220000000003,446.77200000000005,933.4442,11,114.34001818181818,31.97308181818181
2000-12-31,120.5174,10,120.5174,425.7807000000001,551.4343,964.2428,12,91.00471818181819,29.512681818181804
2001-01-31,58.8543,14,58.8543,325.68480000000005,591.9205,970.8467999999999,1,52.49831818181818,6.355981818181824
2001-02-28,37.6382,7,37.6382,217.00990000000007,594.9921,961.0449,2,58.23464545454545,-20.596445454545453
2001-03-31,109.4728,15,109.4728,205.96530000000007,631.7460000000001,1006.3223,3,102.0204090909091,7.452390909090909
2001-04-30,145.8712,14,145.8712,292.98220000000003,618.667,1006.6239999999999,4,140.91188181818183,4.959318181818162
2001-05-31,71.3769,4,71.3769,326.72090000000003,543.7308,990.5028,5,85.74830909090909,-14.371409090909083
2001-06-30,20.214100000000002,3,20.214100000000002,237.46220000000005,443.42750000000007,994.8618,6,24.74639090909091,-4.532290909090907
2001-07-31,37.0815,5,37.0815,128.67250000000007,421.65470000000005,1013.5752,7,13.936318181818182,23.14518181818182
2001-08-31,41.355399999999996,6,41.355399999999996,98.65100000000005,425.37190000000004,1020.364,8,51.01717272727273,-9.661772727272734
2001-09-30,117.2342,12,117.2342,195.67110000000005,433.1333000000001,1064.8793,9,104.44834545454545,12.785854545454555
2001-10-31,195.3951,19,195.3951,353.9847000000001,482.6572000000001,1101.3242,10,121.37387272727273,74.02122727272729
2001-11-30,151.0089,12,151.0089,463.6382000000001,562.2892000000002,1106.02,11,114.34001818181818,36.66888181818183
2001-12-31,64.9045,8,64.9045,411.3085000000001,606.9796000000001,1050.4071000000001,12,91.00471818181819,-26.100218181818192
2002-01-31,80.4731,20,80.4731,296.38650000000007,650.3712,1072.0259,1,52.49831818181818,27.974781818181825
2002-02-28,56.1277,9,56.1277,201.50530000000006,665.1435,1090.5154,2,58.23464545454545,-2.1069454545454533
2002-03-31,126.23400000000001,14,126.23400000000001,262.8348000000001,674.1433000000001,1107.2766,3,102.0204090909091,24.21359090909091
2002-04-30,148.9106,15,148.9106,331.2723000000001,627.6588000000002,1110.316,4,140.91188181818183,7.9987181818181625
2002-05-31,114.6202,10,114.6202,389.76480000000004,591.2701000000001,1153.5593000000001,5,85.74830909090909,28.871890909090908
2002-06-30,9.9448,2,9.9448,273.4756,536.3104000000001,1143.2900000000002,6,24.74639090909091,-14.801590909090908
2002-07-31,10.607,4,10.607,135.17200000000005,466.4443,1116.8155000000002,7,13.936318181818182,-3.3293181818181825
2002-08-31,24.4043,3,24.4043,44.956100000000056,434.7209000000001,1099.8644,8,51.01717272727273,-26.61287272727273
2002-09-30,50.425399999999996,10,50.425399999999996,85.43670000000006,358.9123,1033.0556,9,104.44834545454545,-54.02294545454545
2002-10-31,129.7721,14,129.7721,204.60180000000005,339.77380000000005,967.4326000000001,10,121.37387272727273,8.398227272727269
2002-11-30,118.9057,9,118.9057,299.1032,344.0593,935.3294,11,114.34001818181818,4.565681818181815
2002-12-31,84.1733,10,84.1733,332.85110000000003,418.28780000000006,954.5982,12,91.00471818181819,-6.831418181818194
2003-01-31,48.7626,8,48.7626,251.84160000000006,456.44340000000005,922.8877,1,52.49831818181818,-3.7357181818181786
2003-02-28,31.3678,9,31.3678,164.30370000000005,463.40690000000006,898.1278,2,58.23464545454545,-26.86684545454545
2003-03-31,78.9881,9,78.9881,159.11850000000004,491.96960000000007,850.8819000000001,3,102.0204090909091,-23.032309090909095
2003-04-30,118.41329999999999,8,118.41329999999999,228.76920000000007,480.61080000000004,820.3846,4,140.91188181818183,-22.498581818181833
2003-05-31,100.5638,9,100.5638,297.96520000000004,462.26890000000003,806.3282,5,85.74830909090909,14.815490909090911
2003-06-30,36.0013,6,36.0013,254.97840000000008,414.0969,832.3847,6,24.74639090909091,11.254909090909091
2003-07-31,7.7441,1,7.7441,144.30920000000006,373.07840000000004,829.5218,7,13.936318181818182,-6.192218181818181
2003-08-31,51.4032,13,51.4032,95.14860000000006,393.1138,856.5207,8,51.01717272727273,0.38602727272726867
2003-09-30,111.2997,18,111.2997,170.44700000000006,425.4254000000001,917.395,9,104.44834545454545,6.851354545454555
2003-10-31,127.2769,19,127.2769,289.97980000000007,434.28900000000004,914.8998,10,121.37387272727273,5.903027272727272
2003-11-30,113.598,12,113.598,352.17460000000005,447.32320000000004,909.5921000000001,11,114.34001818181818,-0.7420181818181817
2003-12-31,58.0812,5,58.0812,298.95610000000005,469.40310000000005,883.5,12,91.00471818181819,-32.92351818181819
2004-01-31,68.8353,11,68.8353,240.51450000000006,530.4943000000001,903.5726999999999,1,52.49831818181818,16.336981818181826
2004-02-29,57.439099999999996,10,57.439099999999996,184.35560000000007,536.5302,929.644,2,58.23464545454545,-0.7955454545454543
2004-03-31,101.1221,17,101.1221,227.39650000000006,526.3526,951.7779999999999,3,102.0204090909091,-0.8983090909090947
2004-04-30,160.0563,12,160.0563,318.61750000000006,559.1320000000001,993.421,4,140.91188181818183,19.144418181818168
2004-05-31,77.0594,7,77.0594,338.23780000000005,522.5934000000001,969.9166,5,85.74830909090909,-8.688909090909092
2004-06-30,12.4489,2,12.4489,249.56460000000007,476.96110000000004,946.3642,6,24.74639090909091,-12.297490909090909
2004-07-31,5.7238,1,5.7238,95.23210000000006,413.8496,944.3439,7,13.936318181818182,-8.212518181818183
2004-08-31,42.7674,7,42.7674,60.94010000000006,399.1779000000001,935.7081,8,51.01717272727273,-8.249772727272727
2004-09-30,104.481,11,104.481,152.97220000000004,402.5368,928.8893999999999,9,104.44834545454545,0.032654545454548156
2004-10-31,104.9616,11,104.9616,252.21000000000004,347.44210000000004,906.5741,10,121.37387272727273,-16.412272727272722
2004-11-30,96.8437,8,96.8437,306.28630000000004,367.22640000000007,889.8198,11,114.34001818181818,-17.496318181818182
2004-12-31,80.7891,10,80.7891,282.59440000000006,435.56660000000005,912.5277,12,91.00471818181819,-10.215618181818186
2005-01-31,60.4357,5,60.4357,238.06850000000006,490.27850000000007,904.1281,1,52.49831818181818,7.937381818181819
2005-02-28,36.4066,8,36.4066,177.63140000000007,483.9177,883.0956,2,58.23464545454545,-21.828045454545453
2005-03-31,118.2799,17,118.2799,215.12220000000005,497.7166,900.2534,3,102.0204090909091,16.2594909090909
2005-04-30,147.296,12,147.296,301.9825000000001,540.051,887.4931,4,140.91188181818183,6.384118181818167
2005-05-31,103.7621,7,103.7621,369.338,546.9694000000001,914.1958,5,85.74830909090909,18.013790909090915
2005-06-30,24.9209,4,24.9209,275.97900000000004,491.1012,926.6677999999999,6,24.74639090909091,0.1745090909090905
2005-07-31,9.154399999999999,3,9.154399999999999,137.83740000000006,439.8199,930.0984,7,13.936318181818182,-4.781918181818183
2005-08-31,48.638600000000004,11,48.638600000000004,82.71390000000005,452.05190000000005,935.9696,8,51.01717272727273,-2.3785727272727257
2005-09-30,112.4302,14,112.4302,170.22320000000008,446.20220000000006,943.9188,9,104.44834545454545,7.981854545454553
2005-10-31,94.8636,13,94.8636,255.93240000000006,393.7698000000001,933.8208,10,121.37387272727273,-26.51027272727272
2005-11-30,74.4848,7,74.4848,281.7786000000001,364.4925000000001,911.4619,11,114.34001818181818,-39.855218181818174
2005-12-31,40.4577,5,40.4577,209.80610000000007,380.0293000000001,871.1305,12,91.00471818181819,-50.54701818181819
2006-01-31,36.101600000000005,8,36.101600000000005,151.04410000000007,406.9765000000001,846.7964,1,52.49831818181818,-16.396718181818173
2006-02-28,58.56550000000001,9,58.56550000000001,135.12480000000008,416.9034000000001,868.9553,2,58.23464545454545,0.3308545454545566
2006-03-31,90.6437,14,90.6437,185.31080000000009,395.1169000000001,841.3190999999999,3,102.0204090909091,-11.376709090909102
2006-04-30,170.3942,14,170.3942,319.6034000000001,470.64750000000004,864.4173000000001,4,140.91188181818183,29.482318181818187
2006-05-31,113.4357,17,113.4357,374.4736000000001,509.5984000000001,874.0909,5,85.74830909090909,27.687390909090908
2006-06-30,13.7783,1,13.7783,297.60820000000007,482.91900000000004,862.9483,6,24.74639090909091,-10.96809090909091
2006-07-31,12.994299999999999,4,12.994299999999999,140.2083000000001,459.81170000000003,866.7882000000001,7,13.936318181818182,-0.9420181818181828
2006-08-31,67.2676,9,67.2676,94.04020000000008,468.51380000000006,885.4172000000001,8,51.01717272727273,16.250427272727272
2006-09-30,82.6548,15,82.6548,162.91670000000008,460.5249000000001,855.6418,9,104.44834545454545,-21.793545454545452
2006-10-31,90.7069,8,90.7069,240.62930000000006,380.8376,851.4851,10,121.37387272727273,-30.66697272727272
2006-11-30,143.1047,19,143.1047,316.46640000000014,410.5066000000001,920.105,11,114.34001818181818,28.764681818181828
2006-12-31,136.7427,17,136.7427,370.5543000000001,533.4710000000001,1016.3900000000001,12,91.00471818181819,45.73798181818182
2007-01-31,50.4952,11,50.4952,330.3426000000001,570.9719,1030.7836,1,52.49831818181818,-2.0031181818181807
2007-02-28,66.4774,18,66.4774,253.71530000000013,570.1817000000001,1038.6955,2,58.23464545454545,8.242754545454552
2007-03-31,89.4601,14,89.4601,206.43270000000012,576.9870000000001,1037.5119,3,102.0204090909091,-12.5603090909091
2007-04-30,119.62,9,119.62,275.5575000000001,605.9001000000001,986.7377,4,140.91188181818183,-21.29188181818182
2007-05-31,100.039,4,100.039,309.1191000000001,562.8344000000001,973.341,5,85.74830909090909,14.290690909090912
2007-06-30,33.6896,6,33.6896,253.3486000000001,459.78130000000004,993.2523000000001,6,24.74639090909091,8.94320909090909
2007-07-31,38.922,7,38.922,172.6506000000001,448.20810000000006,1019.18,7,13.936318181818182,24.985681818181817
2007-08-31,39.5519,8,39.5519,112.16350000000011,421.28260000000006,991.4643,8,51.01717272727273,-11.465272727272726
2007-09-30,111.5414,13,111.5414,190.0153000000001,443.36390000000006,1020.3509,9,104.44834545454545,7.0930545454545495
2007-10-31,74.4845,11,74.4845,225.5778000000001,398.2284,1004.1285,10,121.37387272727273,-46.88937272727273
2007-11-30,117.277,10,117.277,303.3029000000001,415.4664,978.3008,11,114.34001818181818,2.9369818181818204
2007-12-31,70.9019,10,70.9019,262.66340000000014,452.67870000000005,912.4599999999999,12,91.00471818181819,-20.102818181818193
2008-01-31,66.6234,13,66.6234,254.80230000000012,480.3801,928.5882,1,52.49831818181818,14.125081818181826
2008-02-29,47.3888,15,47.3888,184.91410000000013,488.21700000000004,909.4996,2,58.23464545454545,-10.845845454545447
2008-03-31,119.1572,12,119.1572,233.1694000000001,495.8328,939.1967,3,102.0204090909091,17.136790909090905
2008-04-30,89.1036,6,89.1036,255.64960000000013,510.4519000000001,908.6803,4,140.91188181818183,-51.808281818181825
2008-05-31,63.6114,7,63.6114,271.87220000000013,456.7863000000001,872.2527,5,85.74830909090909,-22.136909090909086
2008-06-30,29.5905,4,29.5905,182.30550000000014,415.4749000000001,868.1536,6,24.74639090909091,4.84410909090909
2008-07-31,10.3323,3,10.3323,103.53420000000011,359.1838000000001,839.5639000000001,7,13.936318181818182,-3.604018181818182
2008-08-31,71.0997,9,71.0997,111.02250000000011,382.89470000000006,871.1117,8,51.01717272727273,20.08252727272727
2008-09-30,111.9453,14,111.9453,193.3773000000001,375.6828000000001,871.5156000000001,9,104.44834545454545,7.496954545454557
2008-10-31,88.0761,10,88.0761,271.12110000000007,374.65530000000007,885.1072,10,121.37387272727273,-33.29777272727273
2008-11-30,77.4311,10,77.4311,277.4525000000001,388.475,845.2613,11,114.34001818181818,-36.90891818181818
2008-12-31,69.3099,6,69.3099,234.8171000000001,428.19440000000003,843.6693,12,91.00471818181819,-21.694818181818192
2009-01-31,52.1542,15,52.1542,198.8952000000001,470.01630000000006,829.2001,1,52.49831818181818,-0.34411818181817466
2009-02-28,62.1294,11,62.1294,183.59350000000012,461.04600000000005,843.9407,2,58.23464545454545,3.8947545454545462
2009-03-31,103.77969999999999,15,103.77969999999999,218.0633000000001,452.8804,828.5632,3,102.0204090909091,1.7592909090908933
2009-04-30,110.7007,8,110.7007,276.6098000000001,475.50500000000005,850.1603,4,140.91188181818183,-30.211181818181828
2009-05-31,62.188199999999995,6,62.188199999999995,276.6686000000001,460.2621000000001,848.7370999999999,5,85.74830909090909,-23.560109090909094
2009-06-30,7.4924,2,7.4924,180.3813000000001,398.44460000000004,826.639,6,24.74639090909091,-17.25399090909091
2009-07-31,8.2741,1,8.2741,77.95470000000012,354.56450000000007,824.5808,7,13.936318181818182,-5.662218181818181
